Data,USD,IPCA
set/21,5.442,10.246
ago/21,5.149,9.679
jul/21,5.212,8.994
jun/21,4.968,8.346
mai/21,5.217,8.055
abr/21,5.436,6.759
mar/21,5.631,6.099
fev/21,5.598,5.195
jan/21,5.462,4.559
dez/20,5.193,4.517
nov/20,5.331,4.311
out/20,5.744,3.918
set/20,5.611,3.135
ago/20,5.491,2.438
jul/20,5.224,2.305
jun/20,5.466,2.132
mai/20,5.336,1.877
abr/20,5.485,2.399
mar/20,5.204,3.303
fev/20,4.473,4.004
jan/20,4.282,4.191
dez/19,4.019,4.306
nov/19,4.236,3.274
out/19,4.017,2.535
set/19,4.155,2.893
ago/19,4.144,3.428
jul/19,3.812,3.222
jun/19,3.851,3.366
mai/19,3.921,4.658
abr/19,3.920,4.940
mar/19,3.923,4.575
fev/19,3.751,3.890
jan/19,3.643,3.776
