Data, Gold 
15/nov/21,1869.35
14/nov/21,1868.05
12/nov/21,1868.50
11/nov/21,1863.90
10/nov/21,1848.30
09/nov/21,1830.80
08/nov/21,1828.00
05/nov/21,1816.80
04/nov/21,1793.50
03/nov/21,1763.90
02/nov/21,1789.40
01/nov/21,1795.80
29/out/21,1783.90
28/out/21,1802.60
27/out/21,1798.80
26/out/21,1793.40
25/out/21,1806.80
22/out/21,1796.30
21/out/21,1781.90
20/out/21,1784.90
19/out/21,1770.50
18/out/21,1765.70
15/out/21,1768.30
14/out/21,1797.90
13/out/21,1794.70
12/out/21,1759.30
11/out/21,1755.70
08/out/21,1757.40
07/out/21,1759.20
06/out/21,1761.80
05/out/21,1760.90
04/out/21,1767.60
01/out/21,1758.40
30/set/21,1757.00
29/set/21,1722.90
28/set/21,1737.50
27/set/21,1752.00
24/set/21,1751.70
23/set/21,1749.80
22/set/21,1778.80
21/set/21,1778.20
20/set/21,1763.80
17/set/21,1751.40
16/set/21,1756.70
15/set/21,1794.80
14/set/21,1807.10
13/set/21,1794.40
10/set/21,1792.10
09/set/21,1800.00
08/set/21,1793.50
07/set/21,1798.50
06/set/21,1825.65
05/set/21,1830.05
03/set/21,1833.70
02/set/21,1811.50
01/set/21,1816.00
31/ago/21,1818.10
30/ago/21,1812.20
27/ago/21,1819.50
26/ago/21,1795.20
25/ago/21,1791.00
24/ago/21,1808.50
23/ago/21,1806.30
20/ago/21,1784.00
19/ago/21,1783.10
18/ago/21,1784.40
17/ago/21,1787.80
16/ago/21,1789.80
13/ago/21,1778.20
12/ago/21,1751.80
11/ago/21,1753.30
10/ago/21,1731.70
09/ago/21,1726.50
06/ago/21,1763.10
05/ago/21,1808.90
04/ago/21,1814.50
03/ago/21,1814.10
02/ago/21,1822.20
30/jul/21,1817.20
29/jul/21,1835.80
28/jul/21,1804.60
27/jul/21,1804.00
26/jul/21,1799.20
23/jul/21,1801.80
22/jul/21,1805.40
21/jul/21,1803.40
20/jul/21,1811.40
19/jul/21,1809.20
16/jul/21,1815.00
15/jul/21,1829.00
14/jul/21,1825.00
13/jul/21,1809.90
12/jul/21,1805.90
09/jul/21,1810.60
08/jul/21,1800.20
07/jul/21,1802.10
06/jul/21,1794.20
05/jul/21,1791.30
04/jul/21,1786.40
02/jul/21,1783.30
01/jul/21,1776.80
30/jun/21,1771.60
29/jun/21,1763.60
28/jun/21,1780.70
25/jun/21,1777.80
24/jun/21,1776.70
23/jun/21,1783.40
22/jun/21,1777.40
21/jun/21,1782.90
18/jun/21,1769.00
17/jun/21,1774.80
16/jun/21,1861.40
15/jun/21,1856.40
14/jun/21,1865.90
11/jun/21,1879.60
10/jun/21,1896.40
09/jun/21,1895.50
08/jun/21,1894.40
07/jun/21,1898.80
04/jun/21,1892.00
03/jun/21,1873.30
02/jun/21,1909.90
01/jun/21,1905.00
31/mai/21,1911.15
30/mai/21,1906.75
28/mai/21,1905.30
27/mai/21,1898.50
26/mai/21,1903.80
25/mai/21,1900.50
24/mai/21,1886.70
21/mai/21,1878.90
20/mai/21,1883.90
19/mai/21,1883.40
18/mai/21,1870.10
17/mai/21,1869.60
14/mai/21,1840.00
13/mai/21,1826.10
12/mai/21,1824.80
11/mai/21,1838.10
10/mai/21,1839.80
07/mai/21,1833.50
06/mai/21,1817.90
05/mai/21,1786.50
04/mai/21,1778.20
03/mai/21,1794.00
30/abr/21,1769.80
29/abr/21,1770.50
28/abr/21,1776.10
27/abr/21,1781.00
26/abr/21,1782.30
23/abr/21,1779.90
22/abr/21,1784.00
21/abr/21,1795.20
20/abr/21,1780.40
19/abr/21,1772.70
16/abr/21,1782.20
15/abr/21,1768.80
14/abr/21,1738.20
13/abr/21,1749.50
12/abr/21,1734.60
09/abr/21,1746.80
08/abr/21,1760.30
07/abr/21,1743.60
06/abr/21,1745.00
05/abr/21,1730.70
01/abr/21,1730.30
31/mar/21,1717.50
30/mar/21,1687.90
29/mar/21,1716.50
26/mar/21,1736.50
25/mar/21,1729.10
24/mar/21,1737.20
23/mar/21,1729.50
22/mar/21,1742.40
19/mar/21,1745.80
18/mar/21,1736.50
17/mar/21,1731.10
16/mar/21,1735.20
15/mar/21,1733.80
12/mar/21,1724.30
11/mar/21,1727.20
10/mar/21,1726.50
09/mar/21,1721.90
08/mar/21,1682.90
05/mar/21,1703.80
04/mar/21,1705.90
03/mar/21,1721.00
02/mar/21,1738.80
01/mar/21,1728.20
26/fev/21,1734.00
25/fev/21,1780.80
24/fev/21,1802.80
23/fev/21,1810.50
22/fev/21,1813.20
19/fev/21,1782.20
18/fev/21,1779.90
17/fev/21,1777.70
16/fev/21,1803.90
15/fev/21,1818.75
14/fev/21,1821.05
12/fev/21,1828.10
11/fev/21,1832.00
10/fev/21,1847.70
09/fev/21,1842.40
08/fev/21,1838.90
05/fev/21,1817.80
04/fev/21,1795.90
03/fev/21,1839.60
02/fev/21,1837.60
01/fev/21,1867.40
29/jan/21,1854.70
28/jan/21,1845.80
27/jan/21,1853.80
26/jan/21,1859.80
25/jan/21,1863.90
22/jan/21,1864.80
21/jan/21,1874.00
20/jan/21,1874.80
19/jan/21,1849.00
18/jan/21,1836.60
17/jan/21,1809.75
15/jan/21,1839.00
14/jan/21,1861.00
13/jan/21,1864.60
12/jan/21,1854.10
11/jan/21,1860.90
08/jan/21,1845.40
07/jan/21,1924.00
06/jan/21,1919.40
03/jan/21,1965.20
02/jan/21,1957.60
01/jan/21,1901.60
31/dez/20,1905.80
30/dez/20,1904.00
29/dez/20,1893.40
28/dez/20,1890.80
24/dez/20,1893.10
23/dez/20,1887.60
22/dez/20,1880.00
21/dez/20,1892.20
18/dez/20,1898.20
17/dez/20,1899.50
16/dez/20,1867.90
15/dez/20,1864.90
14/dez/20,1841.90
11/dez/20,1853.10
10/dez/20,1846.90
09/dez/20,1847.70
08/dez/20,1884.20
07/dez/20,1875.30
04/dez/20,1849.00
03/dez/20,1849.00
02/dez/20,1838.40
01/dez/20,1827.80
30/nov/20,1790.20
27/nov/20,1797.50
26/nov/20,1807.00
25/nov/20,1820.20
24/nov/20,1820.60
23/nov/20,1854.30
